Uzorak,m,Algoritam,Vrijeme,Udaljenost
50bp/mutated_60_perc.fasta,50,Edlib,0.4526,22
50bp/mutated_60_perc.fasta,50,Edlib (path),0.4529,22
50bp/mutated_60_perc.fasta,50,LandauVishkin,0.0158,22
50bp/mutated_70_perc.fasta,50,Edlib,0.4511,15
50bp/mutated_70_perc.fasta,50,Edlib (path),0.4585,15
50bp/mutated_70_perc.fasta,50,LandauVishkin,0.0097,15
50bp/mutated_80_perc.fasta,50,Edlib,0.4552,11
50bp/mutated_80_perc.fasta,50,Edlib (path),0.4506,11
50bp/mutated_80_perc.fasta,50,LandauVishkin,0.0060,11
50bp/mutated_90_perc.fasta,50,Edlib,0.4501,4
50bp/mutated_90_perc.fasta,50,Edlib (path),0.4520,4
50bp/mutated_90_perc.fasta,50,LandauVishkin,0.0028,4
50bp/mutated_94_perc.fasta,50,Edlib,0.4527,3
50bp/mutated_94_perc.fasta,50,Edlib (path),0.4529,3
50bp/mutated_94_perc.fasta,50,LandauVishkin,0.0026,3
50bp/mutated_97_perc.fasta,50,Edlib,0.4508,3
50bp/mutated_97_perc.fasta,50,Edlib (path),0.4523,3
50bp/mutated_97_perc.fasta,50,LandauVishkin,0.0027,3
50bp/mutated_99_perc.fasta,50,Edlib,0.4505,1
50bp/mutated_99_perc.fasta,50,Edlib (path),0.4540,1
50bp/mutated_99_perc.fasta,50,LandauVishkin,0.0024,1
100bp/mutated_60_perc.fasta,100,Edlib,0.4523,47
100bp/mutated_60_perc.fasta,100,Edlib (path),0.4637,47
100bp/mutated_60_perc.fasta,100,LandauVishkin,0.0649,47
100bp/mutated_70_perc.fasta,100,Edlib,0.4543,35
100bp/mutated_70_perc.fasta,100,Edlib (path),0.4565,35
100bp/mutated_70_perc.fasta,100,LandauVishkin,0.0376,35
100bp/mutated_80_perc.fasta,100,Edlib,0.4520,22
100bp/mutated_80_perc.fasta,100,Edlib (path),0.4626,22
100bp/mutated_80_perc.fasta,100,LandauVishkin,0.0197,22
100bp/mutated_90_perc.fasta,100,Edlib,0.4520,9
100bp/mutated_90_perc.fasta,100,Edlib (path),0.4540,9
100bp/mutated_90_perc.fasta,100,LandauVishkin,0.0075,9
100bp/mutated_94_perc.fasta,100,Edlib,0.4531,7
100bp/mutated_94_perc.fasta,100,Edlib (path),0.4546,7
100bp/mutated_94_perc.fasta,100,LandauVishkin,0.0071,7
100bp/mutated_97_perc.fasta,100,Edlib,0.4541,4
100bp/mutated_97_perc.fasta,100,Edlib (path),0.4538,4
100bp/mutated_97_perc.fasta,100,LandauVishkin,0.0058,4
100bp/mutated_99_perc.fasta,100,Edlib,0.4534,2
100bp/mutated_99_perc.fasta,100,Edlib (path),0.4557,2
100bp/mutated_99_perc.fasta,100,LandauVishkin,0.0054,2
250bp/mutated_60_perc.fasta,250,Edlib,0.4519,111
250bp/mutated_60_perc.fasta,250,Edlib (path),0.4564,111
250bp/mutated_60_perc.fasta,250,LandauVishkin,0.3381,111
250bp/mutated_70_perc.fasta,250,Edlib,0.4593,92
250bp/mutated_70_perc.fasta,250,Edlib (path),0.4536,92
250bp/mutated_70_perc.fasta,250,LandauVishkin,0.2510,92
250bp/mutated_80_perc.fasta,250,Edlib,0.4505,55
250bp/mutated_80_perc.fasta,250,Edlib (path),0.4560,55
250bp/mutated_80_perc.fasta,250,LandauVishkin,0.1032,55
250bp/mutated_90_perc.fasta,250,Edlib,0.4520,32
250bp/mutated_90_perc.fasta,250,Edlib (path),0.4543,32
250bp/mutated_90_perc.fasta,250,LandauVishkin,0.0456,32
250bp/mutated_94_perc.fasta,250,Edlib,0.4510,16
250bp/mutated_94_perc.fasta,250,Edlib (path),0.4547,16
250bp/mutated_94_perc.fasta,250,LandauVishkin,0.0224,16
250bp/mutated_97_perc.fasta,250,Edlib,0.4518,10
250bp/mutated_97_perc.fasta,250,Edlib (path),0.4537,10
250bp/mutated_97_perc.fasta,250,LandauVishkin,0.0168,10
250bp/mutated_99_perc.fasta,250,Edlib,0.4533,5
250bp/mutated_99_perc.fasta,250,Edlib (path),0.4542,5
250bp/mutated_99_perc.fasta,250,LandauVishkin,0.0145,5
500bp/mutated_60_perc.fasta,500,Edlib,0.4566,239
500bp/mutated_60_perc.fasta,500,Edlib (path),0.4609,239
500bp/mutated_60_perc.fasta,500,LandauVishkin,3.7646,239
500bp/mutated_70_perc.fasta,500,Edlib,0.4558,180
500bp/mutated_70_perc.fasta,500,Edlib (path),0.4606,180
500bp/mutated_70_perc.fasta,500,LandauVishkin,1.9114,180
500bp/mutated_80_perc.fasta,500,Edlib,0.4532,108
500bp/mutated_80_perc.fasta,500,Edlib (path),0.4591,108
500bp/mutated_80_perc.fasta,500,LandauVishkin,0.3591,108
500bp/mutated_90_perc.fasta,500,Edlib,0.4519,63
500bp/mutated_90_perc.fasta,500,Edlib (path),0.4666,63
500bp/mutated_90_perc.fasta,500,LandauVishkin,0.1533,63
500bp/mutated_94_perc.fasta,500,Edlib,0.4560,28
500bp/mutated_94_perc.fasta,500,Edlib (path),0.4592,28
500bp/mutated_94_perc.fasta,500,LandauVishkin,0.0536,28
500bp/mutated_97_perc.fasta,500,Edlib,0.4611,15
500bp/mutated_97_perc.fasta,500,Edlib (path),0.4798,15
500bp/mutated_97_perc.fasta,500,LandauVishkin,0.0349,15
500bp/mutated_99_perc.fasta,500,Edlib,0.4529,7
500bp/mutated_99_perc.fasta,500,Edlib (path),0.4577,7
500bp/mutated_99_perc.fasta,500,LandauVishkin,0.0291,7
