Uzorak,m,Algoritam,Vrijeme,Udaljenost
250bp/mutated_60_perc.fasta,250,Edlib,0.4519,111
250bp/mutated_60_perc.fasta,250,Edlib (path),0.4564,111
250bp/mutated_60_perc.fasta,250,LandauVishkin,0.3381,111
250bp/mutated_70_perc.fasta,250,Edlib,0.4593,92
250bp/mutated_70_perc.fasta,250,Edlib (path),0.4536,92
250bp/mutated_70_perc.fasta,250,LandauVishkin,0.2510,92
250bp/mutated_80_perc.fasta,250,Edlib,0.4505,55
250bp/mutated_80_perc.fasta,250,Edlib (path),0.4560,55
250bp/mutated_80_perc.fasta,250,LandauVishkin,0.1032,55
250bp/mutated_90_perc.fasta,250,Edlib,0.4520,32
250bp/mutated_90_perc.fasta,250,Edlib (path),0.4543,32
250bp/mutated_90_perc.fasta,250,LandauVishkin,0.0456,32
250bp/mutated_94_perc.fasta,250,Edlib,0.4510,16
250bp/mutated_94_perc.fasta,250,Edlib (path),0.4547,16
250bp/mutated_94_perc.fasta,250,LandauVishkin,0.0224,16
250bp/mutated_97_perc.fasta,250,Edlib,0.4518,10
250bp/mutated_97_perc.fasta,250,Edlib (path),0.4537,10
250bp/mutated_97_perc.fasta,250,LandauVishkin,0.0168,10
250bp/mutated_99_perc.fasta,250,Edlib,0.4533,5
250bp/mutated_99_perc.fasta,250,Edlib (path),0.4542,5
250bp/mutated_99_perc.fasta,250,LandauVishkin,0.0145,5
